segment,date,period,number_of_stores,numeric_distribution_pct,pdo_kgs,pdo_rs,purchase_weight_tonnes,sales_units_000,sales_value_lakhs,stock_weight_tonnes,str_days,volume_tonnes,number_of_stores_outlier_flag,numeric_distribution_pct_outlier_flag,pdo_kgs_outlier_flag,pdo_rs_outlier_flag,purchase_weight_tonnes_outlier_flag,sales_units_000_outlier_flag,sales_value_lakhs_outlier_flag,stock_weight_tonnes_outlier_flag,str_days_outlier_flag,volume_tonnes_outlier_flag
East Zone - Urban,2018-03-01,MAR18,392725.0,100.0,4.377891562,3268.054174134,1664.991759761,91983.25260186,12834.465755369,1257.350786402,21.939370583,1719.30746372,0,0,0,0,0,0,0,0,0,0
East Zone - Urban,2018-04-01,APR18,385946.0,100.0,3.948274366,2892.65166953,1613.501978661,81206.19047207,11164.073412485,1260.5506625255002,25.481844546,1523.820698644,0,0,0,0,0,0,0,1,0,0
East Zone - Urban,2018-05-01,MAY18,382616.0,100.0,4.15812584,3030.56130722,1604.145148264,83471.73080433,11595.412451231,1234.699690415,23.282083278,1590.965476341,0,0,0,0,0,0,0,0,0,0
East Zone - Urban,2018-06-01,JUN18,383034.0,100.0,4.070012426,2980.046305018,1589.013803555,79643.36840596,11414.590563964,1208.895047257,23.263593047,1558.953139567,0,0,0,0,0,0,0,0,0,0
East Zone - Urban,2018-07-01,JUL18,380027.0,100.0,4.195825975,3086.690161135,1704.194477626,81447.52420652,11730.256018655,1260.5506625255002,24.07115699,1594.527157744,0,0,0,0,0,0,0,1,0,0
East Zone - Urban,2018-08-01,AUG18,377773.0,100.0,4.571971942,3358.29346107,1907.247081117,84305.89986653,12686.725956689,1260.5506625255002,24.424545974,1727.167556531,0,0,0,0,0,0,0,1,0,0
East Zone - Urban,2018-09-01,SEP18,378551.0,100.0,4.715213197,3493.711780199,1770.583055835,83332.03283262,13049.274921417751,1260.5506625255002,22.024786374,1784.948670767,0,0,0,0,0,0,1,1,0,0
East Zone - Urban,2018-10-01,OCT18,384924.0,100.0,4.726790037,3464.52874635,1976.142326389,87743.41526434,13049.274921417751,1260.5506625255002,24.906233284,1819.454928181,0,0,0,0,1,0,1,1,0,0
East Zone - Urban,2018-11-01,NOV18,387559.0,100.0,4.929814374,3625.130996856,1976.142326389,88363.93715503,13049.274921417751,1260.5506625255002,23.122169609,1910.593928943,0,0,0,0,1,0,1,1,0,0
East Zone - Urban,2018-12-01,DEC18,388941.0,100.0,4.866676454,3504.830729901,1917.86700757,91256.20344528,13049.274921417751,1260.5506625255002,23.065539237,1892.850006572,0,0,0,0,0,0,1,1,0,0
East Zone - Urban,2019-01-01,JAN19,395699.0,100.0,4.964190046,3551.437957981,1976.142326389,94852.46867588,13049.274921417751,1260.5506625255002,24.122424404,1914.335970908,0,0,0,0,1,0,1,1,0,1
East Zone - Urban,2019-02-01,FEB19,399787.0,100.0,4.876365959,3493.965620449,1976.142326389,92558.14892333,13049.274921417751,1260.5506625255002,25.401680709,1914.335970908,0,0,0,0,1,0,1,1,0,1
East Zone - Urban,2019-03-01,MAR19,401122.0,100.0,5.086245748,3615.700448051,1906.194927762,99463.01311811,13049.274921417751,1260.5506625255002,20.999898192,1914.335970908,0,0,0,0,0,0,1,1,0,1
East Zone - Urban,2019-04-01,APR19,401759.0,100.0,4.634879874,3305.294284223,1911.082687425,90707.46093063,13049.274921417751,1260.5506625255002,22.554589942,1862.104703278,0,0,0,0,0,0,1,1,0,0
East Zone - Urban,2019-05-01,MAY19,400519.0,100.0,4.452460979,3231.165747294,1785.793530324,86417.86274916,12941.432739404,1260.5506625255002,22.560480144,1783.295218746,0,0,0,0,0,0,0,1,0,0
East Zone - Urban,2019-06-01,JUN19,396757.0,100.0,4.303579765,3149.033988491,1744.386941596,82284.60009591,12494.012781715,1260.5506625255002,22.959951468,1707.475396677,0,0,0,0,0,0,0,1,0,0
East Zone - Urban,2019-07-01,JUL19,390754.0,100.0,4.52438397,3349.382751343,1923.090809283,82440.12896071,13049.274921417751,1260.5506625255002,24.063543495,1767.921133882,0,0,0,0,0,0,1,1,0,0
